0.207,0.185
0.235,0.2
0.26,0.215
0.283,0.228
0.303,0.24
0.319,0.249
0.333,0.257
0.343,0.262
0.423,-0.289
0.423,-0.289
0.411,-0.281
0.395,-0.27
0.374,-0.255
0.347,-0.238
0.316,-0.217
0.28,-0.194
0.241,-0.169
0.199,-0.141
0.154,-0.111
0.111,-0.079
0.069,-0.048
0.031,-0.019
-0.005,0.008
-0.037,0.033
-0.068,0.058
-0.099,0.082
-0.128,0.104
-0.154,0.124
-0.178,0.143
-0.202,0.16
-0.225,0.176
-0.247,0.19
-0.268,0.203
-0.287,0.214
-0.305,0.226
-0.323,0.236
-0.339,0.245
-0.353,0.254
-0.366,0.262
-0.377,0.268
-0.386,0.274
-0.394,0.278
-0.401,0.282
-0.406,0.286
-0.412,0.289
-0.416,0.292
-0.42,0.294
-0.423,0.296
-0.425,0.297
-0.427,0.298
-0.428,0.299
-0.429,0.299
-0.429,0.299
0.0793689,-0.0487229
0.0793689,-0.0487229
0.0808405,-0.0477418
0.0828027,-0.044308
0.085746,-0.0403836
0.0886893,-0.034497
0.0916326,-0.0276293
0.0940854,-0.0197805
0.0960475,-0.0109506
0.0970286,-0.00163019
0.0975192,0.0081808
0.0980097,0.0179918
0.0975192,0.0273122
0.0965381,0.0361421
0.095557,0.044972
0.0945759,0.0533113
0.0931043,0.0611601
0.0916326,0.0685183
0.090161,0.0748955
0.0886893,0.0802915
0.0872177,0.085197
0.0862366,0.089612
0.0847649,0.0935364
0.0837838,0.0959891
0.0832933,0.0974607
0.0832933,0.0974607
0.0832933,0.0974607
0.0268801,-0.00996952
0.0268801,-0.00996952
0.0288423,-0.00800732
0.0312951,-0.00457348
0.0332573,-0.000158538
0.0352194,0.00474695
0.0366911,0.0106335
0.0371816,0.0175012
0.0381627,0.02535
0.0381627,0.0327083
0.0381627,0.0390854
0.0381627,0.044972
0.0381627,0.050368
0.0376722,0.0557641
0.0366911,0.060179
0.03571,0.0641034
0.0352194,0.0665561
0.0347289,0.0680278
0.0347289,0.0685183
0.0347289,0.0690089
0.0347289,0.0694994
-0.00353393,0.0106335
-0.00353393,0.0106335
-0.00304339,0.0116146
-0.00255284,0.0140674
-0.00157174,0.0175012
