31,-21.5
31,-21.5
30.8,-21.6
30.6,-21.7
30.3,-21.7
29.8,-21.8
29.2,-21.8
28.3,-21.6
27.2,-21.3
25.8,-20.9
24.2,-20.5
22.4,-20
20.4,-19.4
18.4,-18.7
16.3,-17.8
14.5,-16.9
12.7,-15.7
10.8,-14.3
9.3,-12.8
8.2,-11.3
8.1,-11.1
7.3,-9.1
6.8,-7.1
6.7,-5
6.9,-2.9
7.3,-0.9
8,1.4
8.8,3.5
9.7,5.4
10.7,7.2
11.6,8.8
12.6,10.4
13.7,11.8
14.8,13.2
16.1,14.6
17.5,15.9
19.2,17
21,18
23.1,18.7
25.4,19.4
27.9,20.1
30.4,20.7
32.7,21.2
35.3,21.8
38,22.2
40.5,22.6
43,22.8
45.4,22.8
47.8,22.8
50.2,22.5
52.7,21.9
55,21.2
57.2,20.2
59.3,19.1
61,18.1
62.5,16.9
63.8,15.7
64.9,14.2
65.9,12.7
66.6,11
67.2,9.1
67.6,7.1
67.7,5
67.7,3
67.5,1.2
67.1,-0.6
66.6,-2.3
66.1,-4
65.5,-5.7
64.9,-7.4
64.2,-8.9
63.5,-10.2
62.7,-11.5
61.7,-12.6
60.7,-13.7
59.5,-14.8
58.3,-15.8
57,-16.9
55.7,-18.1
54.3,-19.2
52.8,-20.2
51.1,-21.1
49.1,-21.9
46.7,-22.5
44,-23.1
41.4,-23.6
38.3,-24.2
35.7,-24.7
33.1,-25.2
30.7,-25.6
28.3,-26
25.9,-26.3
23.5,-26.5
21.4,-26.7
19.6,-26.8
14.5,-5.9
14.5,-5.9
14.6,-5.3
14.7,-4.6
15,-3.9
15.4,-3
16.1,-2.1
17,-1.2
18,-0.3
19,0.3
20.1,0.9
21.1,1.2
22.1,1.4
22.8,1.5
23.4,1.5
23.8,1.3
24,0.9
24.1,0.6
24.1,-0.1
23.9,-0.8
23.6,-1.6
23.2,-2.5
22.8,-3.1
22.1,-4
21.6,-4.6
21.5,-4.6
20.7,-5.2
19.9,-5.7
18.8,-6
17.7,-6.3
16.6,-6.5
15.5,-6.6
14.5,-6.7
13.6,-6.7
40.4,-14.4
40.4,-14.4
39.7,-14.4
38.9,-14.3
38.1,-14
37.4,-13.7
36.7,-13.3
36.1,-12.8
35.7,-12.2
35.5,-11.6
35.5,-10.8
35.8,-10
36.5,-8.9
37.5,-7.8
38.7,-6.8
40.1,-5.9
41.5,-5.3
42.9,-4.9
44.4,-4.7
45.7,-4.6
46.9,-4.6
47.8,-4.7
48.6,-4.9
49.1,-5.2
49.5,-5.5
49.8,-5.9
49.9,-6.4
50,-7.1
50,-7.8
49.9,-8.6
49.5,-9.4
48.9,-10.2
48,-11
46.8,-11.7
45.5,-12.4
44.1,-12.9
42.7,-13.3
41.4,-13.6
